arn, redisTsValue, currentSystemTs, passedTime
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246735180, 1601246735236, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246735570, 1601246735622, 52
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246735749, 1601246735798, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246735994, 1601246736045, 51
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246736275, 1601246736320, 45
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246746420, 1601246746514, 94
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246746523, 1601246746724, 201
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246746719, 1601246746766, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246747323, 1601246747753, 430
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#2c0970c0-ce2f-4990-9c66-90f7bb13e55d, 1601246748196, 1601246748589, 393
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246860375, 1601246860487, 112
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246870062, 1601246870126, 64
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246870231, 1601246870278, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246870262, 1601246870309, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246870529, 1601246870584, 55
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246871557, 1601246871609, 52
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246881053, 1601246881121, 68
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246881865, 1601246881913, 48
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246881940, 1601246881996, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246882213, 1601246882260, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e28146cd-fa53-43f1-a5a1-3096a1dd6c20, 1601246882428, 1601246882550, 122
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246951191, 1601246951256, 65
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246961474, 1601246961536, 62
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246961638, 1601246961689, 51
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246962319, 1601246962375, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246962319, 1601246962376, 57
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246962705, 1601246962758, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246971533, 1601246971644, 111
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246972573, 1601246972629, 56
