arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::4128e6a0-bf82-5f92-863c-b1508d0857e1, 1601581146203, 1601581146247, 44, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::225a7c5d-1af3-5eb3-8e7d-2bad2876c0c7, 1601581146211, 1601581146324, 113, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::ff0586a4-b595-5924-a639-d154871124ab, 1601581146267, 1601581146383, 116, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::3fbd23fb-150b-5907-ad5a-740b278e9691, 1601581146277, 1601581146422, 145, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::937a491f-2fb5-5ba4-a448-1eef1d38162b, 1601581146493, 1601581146567, 74, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::5a3ec8cf-fb07-5f7c-9b6a-9f3fc98ad2f3, 1601581146810, 1601581146967, 157, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::c3b92812-ad51-5c52-bf00-7fe29fdfc226, 1601581147761, 1601581147805, 44, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::2e16a950-7db6-532d-8169-fea04f390d59, 1601581148072, 1601581148117, 45, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::520133d3-a1ba-5602-b9c7-642393298813, 1601581152110, 1601581152175, 65, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::e6e7e4f7-adc6-5caa-b789-b3079f55b4d9, 1601581152172, 1601581152220, 48, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::6a448d91-a5b4-4f7f-86f0-feb86a284d79, 1601581293650, 1601581293726, 76, 40
