arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089305, 1601577089326, 21, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089305, 1601577089328, 23, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089632, 1601577089655, 23, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089632, 1601577089657, 25, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089971, 1601577089993, 22, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577089971, 1601577090003, 32, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577090115, 1601577090138, 23, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577090115, 1601577090140, 25, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577739742, 1601577739748, 6, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577739742, 1601577739749, 7, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577739742, 1601577739751, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742609, 1601577742618, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742609, 1601577742619, 10, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742609, 1601577742621, 12, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742810, 1601577742826, 16, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742810, 1601577742828, 18, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742810, 1601577742829, 19, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742871, 1601577742880, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742871, 1601577742882, 11, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742871, 1601577742883, 12, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742903, 1601577742911, 8, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742903, 1601577742912, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742903, 1601577742914, 11, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742936, 1601577742954, 18, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742936, 1601577742955, 19, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577742936, 1601577742957, 21, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577753708, 1601577753715, 7, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577753708, 1601577753717, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577753708, 1601577753719, 11, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#38a37c1f-bc72-4d95-92b7-52a0f334efc8, 1601577753803, 1601577753812, 9, 5
